practice,stp,region,interval_start,population,appointments_scheduled,appointments_seen,inc_pt_otitis_media,inc_pt_sinusitis,inc_pt_sore_throat,inc_pt_insect_bites,inc_pt_shingles,inc_pt_impetigo,inc_pt_uuti,inc_pt_all_eligible
708,E54000003,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
604,E54000029,South West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
730,E54000040,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
725,E54000053,Yorkshire and The Humber,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
785,E54000068,North West,2022-02-01,1,0,0,1,0,0,1,0,1,0,1
309,E54000062,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
869,E54000056,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
667,E54000003,London,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
766,E54000038,Yorkshire and The Humber,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
885,E54000063,East,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
556,E54000078,West Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
790,E54000031,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
432,E54000042,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
851,E54000052,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
389,E54000088,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
11,E54000080,Missing,2022-02-01,1,0,0,1,0,1,1,0,1,0,1
890,E54000012,West Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
519,E54000073,North West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
204,E54000042,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
261,E54000024,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
649,E54000098,East,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
428,E54000083,South East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
450,E54000096,East,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
991,E54000074,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
564,E54000054,Missing,2022-02-01,1,0,0,1,1,1,1,0,1,0,1
83,E54000002,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
147,E54000074,East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
58,E54000088,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
616,E54000008,Missing,2022-02-01,1,0,0,1,0,1,1,0,1,0,1
58,E54000096,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
645,E54000017,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
883,E54000031,East,2022-02-01,1,0,0,0,1,1,1,0,1,0,1
86,E54000064,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
581,E54000001,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
187,E54000097,East,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
734,E54000085,North West,2022-02-01,1,0,0,1,0,1,1,0,1,0,1
551,E54000098,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
906,E54000085,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
85,E54000097,Yorkshire and The Humber,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
288,E54000080,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
89,E54000082,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
608,E54000081,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
111,E54000052,Yorkshire and The Humber,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
339,E54000048,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
440,E54000056,East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
906,E54000050,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
361,E54000055,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
271,E54000034,Missing,2022-02-01,1,0,0,1,0,1,1,0,1,0,1
182,E54000044,East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
885,E54000073,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
863,E54000027,West Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
790,E54000009,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
84,E54000066,East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
584,E54000082,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
418,E54000043,North West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
326,E54000044,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
570,E54000052,South East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
330,E54000090,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
810,E54000075,Missing,2022-02-01,1,0,0,1,1,1,1,0,1,0,1
9,E54000039,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
992,E54000002,Missing,2022-02-01,1,0,0,1,0,1,1,0,1,0,1
900,E54000054,West Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
129,E54000007,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
9,E54000054,London,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
726,E54000010,South West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
645,E54000093,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
351,E54000034,London,2022-02-01,1,0,0,1,0,1,1,0,1,0,1
374,E54000061,North East,2022-02-01,1,0,0,1,1,1,1,0,1,0,1
829,E54000009,South East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
554,E54000076,West Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
826,E54000073,North West,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
434,E54000057,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
318,E54000080,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
471,E54000051,East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
497,E54000034,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
535,E54000060,East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
864,E54000081,London,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
710,E54000077,East Midlands,2022-02-01,1,0,0,1,0,0,1,0,1,0,1
570,E54000035,South West,2022-02-01,1,0,0,0,0,0,0,0,0,0,0
209,E54000043,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
119,E54000075,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
452,E54000096,Missing,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
495,E54000013,West Midlands,2022-02-01,1,0,0,1,1,1,1,0,1,0,1
768,E54000022,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
297,E54000016,West Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
995,E54000096,North East,2022-02-01,1,0,0,1,1,1,1,0,1,0,1
407,E54000092,South West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
947,E54000065,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
545,E54000074,South West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
657,E54000020,East,2022-02-01,1,0,0,1,1,1,1,0,1,0,1
520,E54000056,North West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
954,E54000069,South West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
305,E54000002,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
685,E54000073,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
89,E54000048,North West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
691,E54000096,East Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
553,E54000051,London,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
531,E54000082,North East,2022-02-01,1,0,0,1,1,1,1,0,1,0,1
250,E54000064,North West,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
447,E54000030,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
372,E54000088,North East,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
457,E54000059,North East,2022-02-01,1,0,0,0,1,1,1,1,1,0,1
606,E54000089,East,2022-02-01,1,0,0,1,0,1,1,0,1,0,1
786,E54000078,West Midlands,2022-02-01,1,0,0,0,1,1,1,1,1,1,1
